item_id,item_name,category,supplier,price_usd,weight_kg,color,warranty_years,release_year,rating
1088,Large,Stationery,Martin-Morgan,808.49,5.544,Green,1,2003,1.1
1089,Discover,Toys,Anderson-Wright,918.54,0.554,Blue,1,2007,3.7
1090,Generation,Electronics,,93.35,,White,2,2001,1.4
1091,Any,Electronics,Williams-Burns,364.43,5.786,Black,0,2009,
,Child,Clothing,Ramos-Young,591.72,3.402,Black,3,2014,4.1
1093,Us,Toys,"Cannon, Sanford and Williams",506.27,5.281,White,0,2022,4.5
1094,Herself,Books,Ford-Griffith,333.86,5.308,White,5,2018,4.0
1095,Answer,Home & Kitchen,Allen Inc,2.04,3.561,Green,5,2000,4.7
1096,Notice,Electronics,Huang Group,924.67,5.551,Black,1,2007,3.8
1097,Read,Books,Morales LLC,885.42,8.712,Yellow,1,2004,4.1
1098,Measure,Clothing,Bowman-King,375.51,7.506,Black,5,2005,2.6
1099,Direction,Stationery,Haley-Norton,389.85,2.49,Red,5,2008,1.4
1100,News,Clothing,Robinson-Morales,108.83,7.566,Blue,5,,1.7
1101,History,Stationery,Burnett-Drake,529.71,0.586,Yellow,3,2004,
1102,Voice,Toys,Flores-King,520.98,2.303,Green,3,2020,2.2
1103,Impact,Books,Wilson LLC,721.92,2.708,,0,2010,2.5
1104,House,Books,Robinson-Morales,92.04,9.229,Red,1,2003,2.1
1105,Compare,Clothing,Vasquez-Huynh,580.64,0.8,Blue,3,2006,3.8
1106,System,Toys,Jones Ltd,727.01,4.257,,5,2013,2.3
1107,Hour,Clothing,Lee LLC,936.68,6.375,Black,2,2006,3.3
1108,History,Stationery,"Harding, Cruz and Porter",947.77,9.709,Blue,0,2013,3.1
1109,Sound,,"Hahn, Solis and Moore",424.05,7.471,Red,3,2003,3.9
,Various,Toys,Alvarez PLC,965.98,7.347,White,2,2015,4.7
1111,Only,Toys,Martinez-Lee,822.96,6.401,Red,,2006,3.8
1112,High,Stationery,"Johnson, Cooper and Williams",403.13,8.59,White,3,2023,4.8
1113,Goal,Books,Mccarthy-Shepard,51.14,3.228,Green,2,2003,2.4
1114,Fish,Electronics,"Yates, Lee and Pena",642.03,4.403,Blue,1,2009,4.3
1115,System,Electronics,"Richardson, Burton and Lee",273.4,7.658,Green,1,2001,2.2
1116,Indicate,Clothing,Huang Group,,9.378,Blue,3,2008,2.9
1117,,Books,Huang Group,381.79,9.123,Black,1,2011,4.5
1118,Week,Clothing,Johnson-Macias,62.98,2.885,Green,1,2013,4.3
1119,Save,Clothing,Alexander-Williamson,199.43,7.672,Yellow,0,2006,4.4
1120,Little,Books,Robinson-Morales,300.4,2.019,Blue,3,2020,3.3
1121,Lawyer,Books,Wiley PLC,188.16,8.905,Black,3,2000,2.1
1122,Middle,Clothing,Alvarez PLC,218.36,0.976,Green,5,2007,3.6
1123,Five,Stationery,Huang Group,505.59,3.094,White,0,2018,4.4
1124,Rise,Toys,Wiley PLC,261.98,4.316,Yellow,2,2022,4.4
1125,Figure,Toys,"Johnson, Fuller and Curry",508.2,8.382,Yellow,2,2020,4.3
1126,Ability,Home & Kitchen,Allen Inc,27.69,2.709,Blue,1,2008,3.7
1127,Degree,Electronics,Saunders-Cortez,369.81,7.657,Yellow,2,2000,1.4
1128,Individual,Home & Kitchen,"Garrett, Warren and Malone",261.45,4.547,Red,3,2021,3.3
1129,Continue,Stationery,"Richards, Gutierrez and Turner",343.8,4.721,Black,0,2013,1.5
1130,Near,Electronics,Ford-Griffith,326.49,0.612,Red,3,2003,4.5
1131,Participant,Clothing,,512.07,7.217,Blue,5,2005,3.7
1132,Air,,Jones Ltd,466.13,6.511,Yellow,3,2021,4.0
1133,Tonight,Stationery,Alvarez PLC,644.05,4.485,Black,3,2016,2.1
1134,Your,Clothing,"Newton, Jimenez and Howard",485.64,0.094,Blue,2,2014,4.1
1135,Value,Electronics,"Newton, Jimenez and Howard",143.21,6.314,Yellow,5,,4.4
1136,Threat,Clothing,"Garrett, Warren and Malone",796.33,0.609,Green,0,2017,1.0
1137,Participant,Home & Kitchen,Vasquez-Huynh,467.49,,Red,1,,3.9
1138,Former,Home & Kitchen,"Cannon, Sanford and Williams",661.72,8.108,Yellow,2,2012,4.0
1139,Remember,Stationery,"Richards, Gutierrez and Turner",202.26,5.247,Blue,3,2003,1.3
1140,Charge,Clothing,"King, Arnold and Choi",79.3,,,0,2010,4.1
1141,Financial,Toys,,438.77,6.412,Black,1,2002,4.7
1142,Most,Clothing,"Phillips, Williams and Montgomery",558.31,7.499,Black,0,2012,2.8
1143,Black,Toys,Burnett-Drake,497.59,5.984,White,5,2006,4.0
1144,Attack,Home & Kitchen,Allen Inc,928.08,4.946,Red,1,2016,4.3
1145,Policy,Books,"Newton, Jimenez and Howard",713.66,6.513,Yellow,1,2015,4.7
1146,Environment,Stationery,"Hahn, Solis and Moore",935.63,5.273,White,,2012,3.9
1147,Feeling,Toys,Flores-King,650.92,6.592,Red,2,2003,3.8
1148,Camera,Books,Haley-Norton,587.42,7.636,Red,2,2006,4.4
1149,Yet,Books,Lewis LLC,759.34,5.303,Green,2,2010,1.9
1150,Free,Toys,Morales LLC,391.03,5.399,Red,,2008,
1151,Pattern,Clothing,"Garrett, Warren and Malone",587.87,,Red,0,,2.4
1152,Arrive,Home & Kitchen,Morales LLC,991.72,7.846,Black,0,2004,2.4
1153,Enjoy,Home & Kitchen,Garcia Inc,813.22,9.598,Green,2,2012,1.5
1154,Smile,Books,"Underwood, Nguyen and Pena",,4.639,,2,2001,1.1
1155,Way,Home & Kitchen,Burnett-Drake,96.39,9.464,Red,0,,
1156,Fly,Home & Kitchen,"Johnson, Cooper and Williams",339.64,4.943,Yellow,5,2005,2.1
1157,South,Clothing,Huang Group,88.6,6.65,Blue,2,2023,4.3
1158,Ready,Home & Kitchen,Vasquez-Huynh,524.09,9.44,Red,1,2008,2.1
1159,Their,Books,"Richardson, Burton and Lee",720.85,5.908,Green,2,2022,3.2
1160,Suddenly,Electronics,Anderson-Wright,466.52,9.367,Red,3,2021,1.2
1161,Offer,Home & Kitchen,Morales LLC,173.78,9.828,White,1,,1.4
1162,Education,Electronics,Williams-Barr,255.56,0.328,Black,3,2021,3.0
1163,With,Electronics,Alvarez PLC,129.58,,Yellow,,2004,1.4
1164,Vote,Books,"Harding, Cruz and Porter",610.04,7.659,White,0,2021,3.8
1165,Professional,Home & Kitchen,Williams-Burns,74.07,9.39,White,3,2004,3.7
1166,Particular,Home & Kitchen,Huang Group,276.63,0.577,White,5,2004,3.8
1167,Stop,Home & Kitchen,"Cannon, Sanford and Williams",691.78,9.233,Blue,3,2006,3.2
1168,Hold,Books,"Hahn, Solis and Moore",,2.996,Green,2,2014,
1169,Figure,Toys,,127.53,,Yellow,2,2023,3.8
1170,Up,Home & Kitchen,Williams-Barr,518.73,0.588,Yellow,5,2021,2.9
,Check,Toys,Mccarthy-Shepard,949.54,3.686,,2,2005,4.7
1172,Condition,Electronics,Evans-Patrick,533.34,0.174,Black,3,2003,3.4
1173,Tv,Home & Kitchen,"King, Arnold and Choi",664.42,6.06,Yellow,3,2021,3.1
1174,Data,Stationery,Mccarthy-Shepard,409.68,4.073,Blue,5,2014,2.4
1175,,Toys,Vasquez-Huynh,714.05,6.897,,5,2014,2.6
1176,Accept,Home & Kitchen,Vasquez-Huynh,841.13,7.273,Yellow,,2017,3.5
1177,Modern,Stationery,Anderson PLC,139.4,5.701,White,3,2014,2.6
1178,,Toys,"Richards, Gutierrez and Turner",30.69,,Yellow,3,2007,4.3
1179,Add,Stationery,"Johnson, Fuller and Curry",64.4,4.813,Red,5,2003,1.2
1180,Radio,Clothing,Carter-Johnson,945.64,8.742,White,3,2004,5.0
1181,Standard,Toys,Johnson-Macias,769.61,8.042,White,5,,3.8
1182,,Books,Holt-Robertson,725.7,,Red,3,2016,1.6
1183,Paper,Home & Kitchen,Mccarthy-Shepard,403.72,1.081,,,2013,4.9
1184,Newspaper,Stationery,"Johnson, Fuller and Curry",457.54,6.579,Blue,5,2001,1.1
1185,Several,Stationery,"Garrett, Warren and Malone",354.23,9.263,White,2,2002,3.0
,Own,Clothing,Mccarthy-Shepard,599.93,3.576,Blue,1,2010,2.8
1187,People,Stationery,Lee LLC,875.34,8.843,Blue,2,2022,4.6
1188,Leg,Home & Kitchen,Williams-Burns,97.78,5.884,Blue,5,2011,2.4
1189,Garden,Books,Anderson Ltd,241.55,3.659,White,3,2016,
1190,Face,Toys,Johnson-Macias,953.56,8.627,White,2,2012,2.9
1191,,Home & Kitchen,Carter-Johnson,182.76,0.271,White,3,2002,1.2
1192,Network,Toys,"Hahn, Solis and Moore",643.39,4.416,Black,2,2019,4.6
1193,Month,Toys,Haley-Norton,397.39,7.391,White,0,,3.1
1194,Program,Books,"Hahn, Solis and Moore",598.44,6.244,Yellow,0,2021,4.5
1195,Station,Electronics,Martin-Morgan,755.8,7.75,Yellow,1,2023,1.9
1196,Truth,Clothing,Martin-Morgan,154.87,6.166,Green,3,2006,2.7
1197,Minute,Toys,Anderson Ltd,502.9,7.234,Yellow,0,2016,3.6
1198,Court,Home & Kitchen,Swanson-Wilson,212.35,2.05,Blue,5,2014,1.7
1199,Understand,Books,Lee LLC,901.53,4.943,Blue,2,2000,2.7
1200,Production,Toys,Martin-Morgan,404.04,6.863,,1,2006,3.2
1201,Nation,Electronics,Morales LLC,712.26,2.949,Black,5,2006,1.9
,Police,Home & Kitchen,"Richardson, Burton and Lee",464.7,0.815,Green,2,2017,4.1
1203,Political,Books,"Hahn, Solis and Moore",164.65,2.736,Red,0,2001,1.8
1204,Fact,Stationery,"Underwood, Nguyen and Pena",236.82,5.837,White,1,2017,4.6
1205,Great,Electronics,"Richards, Gutierrez and Turner",985.56,4.112,White,0,2002,4.3
1206,Left,Clothing,Ford-Griffith,984.49,3.417,Red,2,2001,4.4
1207,Report,Electronics,Evans-Patrick,835.65,7.904,Red,3,2011,1.9
1208,We,Toys,Swanson-Wilson,727.47,0.574,Blue,5,2018,3.1
1209,High,Electronics,,464.18,8.905,Black,0,2000,4.7
1210,Consumer,Toys,Anderson-Wright,886.73,8.746,Red,1,2021,2.6
1211,Same,Electronics,Carter-Johnson,198.29,4.259,Black,3,,2.4
1212,,Stationery,Williams-Burns,448.72,2.902,Green,1,2015,4.4
1213,Forward,Books,Haley-Norton,823.97,7.738,White,5,2007,4.5
1214,Blue,Clothing,Haley-Norton,249.54,2.875,Green,1,,2.2
1215,Future,Clothing,Anderson Ltd,552.96,6.232,Red,3,2022,3.6
1216,Support,Clothing,"Garcia, Dillon and Williams",831.75,2.233,Green,1,2014,3.4
1217,In,Toys,Navarro-Mitchell,815.35,1.856,White,3,2007,3.4
1218,Available,Home & Kitchen,Ford-Griffith,98.52,0.069,Blue,2,2009,1.4
1219,Compare,Toys,Jones Ltd,679.85,3.304,White,5,2009,1.1
,Good,Toys,"Johnson, Fuller and Curry",748.78,7.282,Green,5,2006,
1221,Record,Electronics,Garcia Inc,549.11,9.653,Black,1,2019,2.2
1222,President,Stationery,"Yates, Lee and Pena",719.24,9.678,Black,5,2006,3.5
1223,Type,Electronics,"Johnson, Fuller and Curry",125.99,2.905,Red,0,2003,2.2
1224,Suffer,Stationery,Garcia Inc,633.65,6.861,Black,0,2016,2.0
1225,Beat,Stationery,Swanson-Wilson,,6.054,Black,5,2008,4.3
1226,Rule,Stationery,,200.04,8.886,Green,3,2006,2.7
1227,,Books,Carter-Johnson,341.17,9.272,Blue,0,2005,3.7
1228,Behind,Books,"Cannon, Sanford and Williams",298.51,5.064,Black,3,2014,1.1
,Father,,Anderson-Wright,723.78,5.905,White,2,2017,3.9
1230,Movement,Clothing,Nguyen and Sons,610.08,4.644,Yellow,0,2021,3.3
1231,Our,Electronics,Flores-King,660.12,1.858,Red,,2018,2.1
1232,Budget,Stationery,Saunders-Cortez,777.52,8.307,Blue,2,2010,4.5
1233,Follow,Clothing,Ramos-Young,514.89,2.229,Yellow,5,2009,4.4
1234,Around,Toys,Morales LLC,781.68,1.495,Yellow,5,2019,1.3
1235,Power,Electronics,Huang Group,192.66,3.414,Yellow,5,2012,
1236,Around,Electronics,Saunders-Cortez,966.71,8.943,,2,2020,1.3
1237,Key,Electronics,,638.6,5.628,Blue,3,2013,2.2
,Store,Toys,"Johnson, Cooper and Williams",50.73,5.529,Green,3,2019,3.9
1239,Standard,Clothing,Haley-Norton,781.82,6.794,Green,3,2001,1.4
1240,Blue,Clothing,Carter-Johnson,780.08,7.247,Blue,0,2006,4.2
1241,Past,Toys,Williams-Barr,108.06,0.552,Blue,1,2021,1.1
1242,Hair,Books,Flores-King,501.36,9.908,Yellow,3,2005,1.1
1243,Maybe,Electronics,"Yates, Lee and Pena",368.86,4.081,Yellow,,2021,2.6
1244,Identify,Home & Kitchen,Wiley PLC,463.99,0.378,Yellow,1,2016,1.4
1245,Card,Books,"Garrett, Warren and Malone",341.08,5.322,Blue,1,,1.6
1246,Daughter,Home & Kitchen,,375.39,9.634,Green,2,2019,1.2
1247,World,Clothing,Williams-Barr,926.57,7.797,Black,0,2003,1.7
1248,Magazine,Electronics,"Johnson, Cooper and Williams",487.3,6.017,Blue,2,2003,2.2
1249,Art,Stationery,Williams-Burns,712.55,8.472,Yellow,0,2006,4.7
1250,Worker,,"Richardson, Burton and Lee",913.8,2.628,Green,5,2014,1.9
1251,Throw,Toys,"Yates, Lee and Pena",415.79,0.287,White,5,2012,3.8
1252,Project,Clothing,Haley-Norton,50.95,8.224,Yellow,2,2002,2.2
1253,Huge,Toys,Flores-King,687.18,2.042,Green,5,2021,3.0
1254,Decade,Stationery,Saunders-Cortez,259.0,1.982,Red,0,2019,2.1
1255,Movie,Toys,Allen Inc,121.99,5.642,Black,3,2006,2.7
,,Electronics,Holt-Robertson,,,Red,1,2019,4.9
1257,Room,,Huang Group,79.2,0.559,Red,3,,
1258,Similar,Clothing,Navarro-Mitchell,817.6,4.449,Red,5,2005,4.6
1259,Former,Toys,"Cannon, Sanford and Williams",7.81,2.819,Green,5,2005,4.6
1260,Million,Home & Kitchen,"Newton, Jimenez and Howard",,5.832,Black,,2021,1.9
1261,Especially,Home & Kitchen,Robinson-Morales,,,Blue,3,2023,1.5
1262,Should,Electronics,Burnett-Drake,61.58,4.012,Red,1,2017,2.0
1263,Perhaps,Toys,,296.71,2.441,Blue,0,2002,1.7
1264,Campaign,,"Johnson, Cooper and Williams",157.4,8.666,White,2,2022,3.4
1265,Respond,Stationery,Evans-Patrick,975.1,1.484,Green,0,2019,4.3
1266,Federal,Home & Kitchen,Ford-Griffith,31.95,0.249,White,5,2009,3.4
1267,Yourself,Electronics,Martinez-Lee,173.62,,Black,2,2011,4.5
,Industry,Clothing,"King, Arnold and Choi",201.19,0.206,Black,5,,2.6
1269,Fund,Clothing,Garcia Inc,21.7,,Yellow,0,2007,4.3
1270,Wall,Toys,Vasquez-Huynh,203.68,3.144,Yellow,2,2002,3.0
1271,Partner,Toys,"Yates, Lee and Pena",197.58,5.258,Yellow,3,,2.6
1272,Section,Toys,Haley-Norton,771.14,6.048,White,0,2004,3.7
1273,Who,Toys,"Harding, Cruz and Porter",225.75,9.078,Red,3,2011,1.9
1274,Government,Clothing,"Johnson, Cooper and Williams",897.15,4.839,Yellow,1,2016,2.0
1275,Least,Clothing,Ford-Griffith,844.14,8.598,Yellow,3,2013,2.3
1276,Bank,Toys,"Richardson, Burton and Lee",158.09,8.389,Green,2,2021,4.3
1277,Agency,Toys,Anderson PLC,211.2,1.304,,,2022,
1278,Cultural,Electronics,"Johnson, Cooper and Williams",853.94,0.547,White,2,2011,4.8
1279,Degree,Stationery,Martinez-Lee,19.84,6.962,Black,1,2006,2.8
1280,,Electronics,"Underwood, Nguyen and Pena",,3.363,Green,5,2018,3.1
1281,Green,Clothing,Carter-Johnson,20.99,3.244,Red,5,2015,2.2
1282,Old,Toys,Lewis LLC,434.34,0.096,Red,0,2015,1.7
1283,Today,Books,Wiley PLC,747.79,9.443,Green,2,2007,1.2
1284,Build,Stationery,"Phillips, Williams and Montgomery",377.14,8.023,Yellow,5,2014,2.5
1285,Amount,Clothing,Martinez-Lee,794.81,0.878,Red,0,2010,2.5
1286,Direction,Clothing,Burnett-Drake,631.01,5.055,White,1,2004,1.2
,Security,Clothing,,210.97,2.558,Yellow,2,2013,4.7
1288,Compare,Home & Kitchen,Burnett-Drake,636.62,4.093,Black,1,2003,4.8
1289,Director,Clothing,Vasquez-Huynh,848.23,4.645,Black,0,2005,2.8
1290,However,,Haley-Norton,890.8,9.929,Yellow,5,2019,4.8
1291,Fire,,Robinson-Morales,274.56,5.959,White,3,2002,3.8
1292,Computer,Electronics,Ford-Griffith,579.76,7.301,Green,0,2017,4.6
1293,Project,Toys,Mccarthy-Shepard,474.93,7.162,Yellow,2,2008,
1294,Instead,Home & Kitchen,"Johnson, Cooper and Williams",406.35,3.272,Green,0,2012,4.7
1295,Large,Clothing,Burnett-Drake,389.13,9.457,,,2003,4.9
1296,Mission,Home & Kitchen,Ford-Griffith,889.49,9.965,Black,1,2015,4.0
1297,Every,Books,Carter-Johnson,805.01,8.993,Red,0,2003,2.1
,About,Clothing,"Hernandez, Reyes and Stewart",452.49,4.418,Blue,0,2007,1.1
1299,Gas,Stationery,"Yates, Lee and Pena",12.05,3.789,Blue,,2010,1.2
1300,Affect,Electronics,Alvarez PLC,509.19,9.614,Black,3,2001,4.7
1301,Change,Toys,Flores-King,135.8,3.264,Blue,0,2009,4.5
1302,After,Toys,"Underwood, Nguyen and Pena",171.51,4.814,White,2,2019,3.7
1303,Foot,Toys,Wilson LLC,314.44,1.761,Green,5,2016,4.3
1304,Near,Stationery,Williams-Barr,952.12,8.549,Yellow,5,2004,4.2
1305,Himself,Books,"Yates, Lee and Pena",450.38,2.356,Yellow,0,2002,4.2
1306,Its,Toys,"King, Arnold and Choi",,9.649,Red,5,2005,2.2
1307,Road,Stationery,Wilson LLC,113.05,3.169,Yellow,0,2011,2.0
1308,Place,Stationery,Robinson-Morales,818.81,5.015,White,3,2001,3.0
,Candidate,Stationery,"Harding, Cruz and Porter",,8.501,Green,1,2002,4.7
1310,Agree,Toys,Nguyen and Sons,619.3,6.387,Black,3,2002,3.2
1311,,Electronics,"Garcia, Dillon and Williams",665.93,0.756,Black,3,2010,2.2
1312,Bill,,Anderson-Wright,894.26,5.716,Black,0,2009,2.6
1313,Company,Stationery,"Underwood, Nguyen and Pena",53.43,5.325,Black,0,2006,2.5
1314,Scientist,Electronics,Martin-Morgan,581.01,3.669,Green,2,2007,2.0
1315,Hospital,Electronics,"Cannon, Sanford and Williams",453.17,9.939,White,1,2023,3.9
1316,Whether,Stationery,Morales LLC,331.67,,Green,0,2006,4.5
1317,Score,Stationery,Alexander-Williamson,340.29,2.538,Black,3,2021,3.8
1318,Source,Electronics,Vasquez-Huynh,724.87,7.311,Yellow,5,2005,3.0
1319,Hear,Home & Kitchen,Haley-Norton,465.0,9.699,Black,3,2004,2.4
1320,Democrat,Toys,Lee LLC,161.82,,Green,1,2023,4.8
1321,Fish,Stationery,Martin-Morgan,614.82,9.171,Red,0,2013,1.3
1322,Establish,Electronics,Bowman-King,,6.818,Black,,2001,4.6
1323,Relate,,Ramos-Young,333.19,0.721,Blue,1,2022,2.7
1324,Spend,Electronics,Garcia Inc,163.59,4.629,Black,0,2010,2.0
1325,Citizen,Books,Vasquez-Huynh,581.2,7.635,Yellow,3,2019,3.2
1326,Then,Clothing,"Newton, Jimenez and Howard",665.03,3.293,,5,2007,3.3
1327,Few,Home & Kitchen,"Underwood, Nguyen and Pena",689.81,9.275,Yellow,,2015,1.0
1328,Anything,Toys,Martin-Morgan,24.92,3.767,Blue,0,2016,4.3
1329,Unit,Home & Kitchen,Wilson LLC,704.1,9.886,Black,2,2003,3.1
1330,Including,Clothing,Lewis LLC,,5.215,Yellow,5,2018,4.1
1331,Admit,Stationery,Allen Inc,564.29,3.536,Black,2,2018,1.8
1332,Write,Toys,"Johnson, Cooper and Williams",859.25,8.353,Black,0,2013,4.2
,Represent,Stationery,Lewis LLC,981.13,1.783,White,5,2023,2.4
1334,,Books,Carter-Johnson,107.39,2.674,Black,3,2009,1.8
1335,Land,Clothing,"Hernandez, Reyes and Stewart",735.81,1.766,Black,1,2015,2.0
1336,Method,Toys,,292.12,7.327,Blue,5,2003,3.1
1337,Not,Home & Kitchen,"Garcia, Dillon and Williams",280.72,2.838,Green,3,2019,
1338,Energy,Books,Flores-King,264.14,0.35,Blue,0,2015,2.3
1339,Administration,Electronics,,910.26,6.127,Black,0,2013,2.3
